ref,id,name,street,region,source,status,reason,link
c:900000000,900000000,White Map,Hidden Street,Dev,current,removed,No usable OSMS full-layout asset,
c:900000001,900000001,White Map with Mob,Hidden Street,Dev,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A900000001
c:900000002,900000002,Black Map with Mob,Hidden Street,Dev,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A900000002
c:90000000,90000000,Maple Hill,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90000000
c:90040000,90040000,Physical Fitness Test <Waiting Room>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040000
c:90040001,90040001,Physical Fitness Test <Level 1>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040001
c:90040002,90040002,Physical Fitness Test <Level 2>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040002
c:90040003,90040003,Physical Fitness Test <Level 3>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040003
c:90040004,90040004,Physical Fitness Test <Level 4>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040004
c:90040010,90040010,Physical Fitness Test <Easy Waiting Room>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040010
c:90040011,90040011,Physical Fitness Test <Easy Level 1>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040011
c:90040012,90040012,Physical Fitness Test <Easy Level 2>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040012
c:90040013,90040013,Physical Fitness Test <Easy Level 3>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040013
c:90040020,90040020,Physical Fitness Test <Normal Waiting Room>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040020
c:90040021,90040021,Physical Fitness Test <Normal Level 1>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040021
c:90040022,90040022,Physical Fitness Test <Normal Level 2>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040022
c:90040023,90040023,Physical Fitness Test <Normal Level 3>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040023
c:90040101,90040101,Up and Up <Level 1>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040101
c:90040102,90040102,Up and Up <Level 2>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040102
c:90040103,90040103,Up and Up <Level 3>,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040103
c:90040200,90040200,Coconut Harvest,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040200
c:90040201,90040201,Coconut Harvest,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040201
c:90040202,90040202,Coconut Harvest,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040202
c:90040203,90040203,G* Coconut Season,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90040203
c:90050000,90050000,Leaving the Event,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90050000
c:90050001,90050001,Receiving the Reward For the Event,Hidden Street,Event,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A90050001
c:1,1,Mushroom Town - West Entrance,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A1
c:10,10,Mushroom Town,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A10
c:20,20,Mushroom Town,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A20
c:21,21,Mushroom Town Townstreet,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A21
c:30,30,East Entrance to Mushroom Town,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A30
c:40,40,Snail Hunting Ground I,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A40
c:41,41,Snail Hunting Ground II,Maple Road,Maple Island,current,kept,Verified OSMS/Classic layout,/?page=maps&view=detail&continent=other&map=c%3A41
